",""IdLandkreis"",""Altersgruppe"",""Geschlecht"",""Meldedatum"",""Refdatum"",""IstErkrankungsbeginn"",""NeuerFall"",""NeuerTodesfall"",""NeuGenesen"",""AnzahlFall"",""AnzahlTodesfall"",""AnzahlGenesen"""
"1,9162,""A15-A34"",""M"",2022-03-15,2020-01-01,1,0,-9,0,1,0,1"
"2,9162,""A15-A34"",""M"",2022-01-10,2020-01-06,1,0,-9,0,1,0,1"
"3,9162,""A60-A79"",""M"",2022-01-17,2020-01-15,1,0,-9,0,1,0,1"
"4,9162,""A05-A14"",""M"",2022-01-25,2020-01-19,1,0,-9,0,1,0,1"
"5,9162,""A15-A34"",""M"",2022-01-22,2020-01-20,1,0,-9,0,1,0,1"
"6,9162,""A60-A79"",""M"",2022-01-28,2020-01-22,1,0,-9,0,1,0,1"
"7,9162,""A05-A14"",""M"",2022-01-25,2020-01-22,1,0,-9,0,1,0,1"
"8,9162,""A35-A59"",""M"",2022-01-30,2020-01-26,1,0,-9,0,1,0,1"
"9,9162,""A05-A14"",""M"",2022-02-01,2020-01-27,1,0,-9,0,1,0,1"
"10,9162,""A15-A34"",""M"",2022-02-03,2020-01-29,1,0,-9,0,1,0,1"
"11,9162,""A15-A34"",""M"",2022-02-05,2020-01-31,1,0,-9,0,1,0,1"
"12,9162,""A00-A04"",""M"",2022-02-16,2020-02-14,1,0,-9,0,1,0,1"
"13,9162,""A35-A59"",""M"",2022-03-01,2020-02-25,1,0,-9,0,1,0,1"
"14,9162,""A05-A14"",""M"",2022-03-08,2020-03-06,1,0,-9,0,1,0,1"
"15,9162,""A35-A59"",""M"",2022-03-16,2020-03-11,1,0,-9,0,1,0,1"
"16,9162,""A15-A34"",""M"",2022-03-22,2020-03-19,1,0,-9,0,1,0,1"
"17,9162,""A15-A34"",""M"",2022-01-17,2020-03-27,1,0,-9,0,1,0,1"
"18,9162,""A35-A59"",""M"",2021-12-09,2020-10-12,1,0,-9,0,1,0,1"
"19,9162,""A15-A34"",""M"",2021-10-23,2020-10-21,1,0,-9,0,1,0,1"
"20,9162,""A35-A59"",""M"",2021-11-17,2020-11-13,1,0,-9,0,1,0,1"
"21,9162,""A05-A14"",""M"",2021-11-23,2020-11-20,1,0,-9,0,1,0,1"
"22,9162,""A35-A59"",""M"",2021-11-24,2020-11-21,1,0,-9,0,1,0,1"
"23,9162,""A15-A34"",""M"",2022-01-18,2020-11-27,1,0,-9,0,1,0,1"
"24,9162,""A35-A59"",""M"",2022-01-05,2020-12-02,1,0,-9,0,1,0,1"
"25,9162,""A15-A34"",""M"",2022-02-21,2020-12-03,1,0,-9,0,1,0,1"
"26,9162,""A15-A34"",""M"",2022-02-22,2020-12-05,1,0,-9,0,1,0,1"
"27,9162,""A05-A14"",""M"",2021-12-23,2020-12-16,1,0,-9,0,1,0,1"
"28,9162,""A15-A34"",""M"",2022-03-25,2020-12-19,1,0,-9,0,1,0,1"
"29,9162,""A15-A34"",""M"",2021-12-30,2020-12-25,1,0,-9,0,1,0,1"
"30,9162,""A35-A59"",""M"",2022-01-03,2020-12-29,1,0,-9,0,1,0,1"
"31,9162,""A15-A34"",""M"",2021-12-31,2020-12-30,1,0,-9,0,1,0,1"
"32,9162,""A15-A34"",""M"",2022-01-04,2020-12-31,1,0,-9,0,1,0,1"
"33,9162,""A35-A59"",""M"",2022-01-04,2021-01-01,1,0,-9,0,1,0,1"
"34,9162,""A15-A34"",""M"",2021-11-10,2021-01-01,1,0,-9,0,1,0,1"
"35,9162,""A35-A59"",""M"",2022-01-06,2021-01-01,1,0,-9,0,1,0,1"
"36,9162,""A35-A59"",""M"",2022-01-03,2021-01-01,1,0,-9,0,2,0,2"
"37,9162,""A35-A59"",""M"",2022-01-07,2021-01-02,1,0,-9,0,1,0,1"
"38,9162,""A15-A34"",""M"",2022-01-05,2021-01-02,1,0,-9,0,2,0,2"
"39,9162,""A15-A34"",""M"",2022-01-03,2021-01-02,1,0,-9,0,1,0,1"
"40,9162,""A15-A34"",""M"",2022-01-04,2021-01-02,1,0,-9,0,1,0,1"
"41,9162,""A35-A59"",""M"",2022-01-09,2021-01-03,1,0,-9,0,1,0,1"
"42,9162,""A60-A79"",""M"",2022-01-10,2021-01-03,1,0,-9,0,1,0,1"
"43,9162,""A35-A59"",""M"",2022-01-06,2021-01-03,1,0,-9,0,1,0,1"
"44,9162,""A15-A34"",""M"",2022-01-09,2021-01-03,1,0,-9,0,1,0,1"
"45,9162,""A15-A34"",""M"",2022-01-06,2021-01-03,1,0,-9,0,1,0,1"
"46,9162,""A15-A34"",""M"",2022-01-04,2021-01-03,1,0,-9,0,1,0,1"
"47,9162,""A35-A59"",""M"",2022-01-12,2021-01-03,1,0,-9,0,1,0,1"
"48,9162,""A15-A34"",""M"",2022-01-07,2021-01-03,1,0,-9,0,4,0,4"
"49,9162,""A15-A34"",""M"",2022-01-05,2021-01-04,1,0,-9,0,1,0,1"
"50,9162,""A15-A34"",""M"",2022-01-07,2021-01-04,1,0,-9,0,1,0,1"
"51,9162,""A60-A79"",""M"",2021-11-06,2021-01-04,1,0,-9,0,1,0,1"
"52,9162,""A35-A59"",""M"",2022-02-02,2021-01-04,1,0,-9,0,1,0,1"
"53,9162,""A15-A34"",""M"",2022-01-08,2021-01-04,1,0,-9,0,1,0,1"
"54,9162,""A15-A34"",""M"",2022-01-02,2021-01-04,1,0,-9,0,1,0,1"
"55,9162,""A35-A59"",""M"",2022-01-06,2021-01-04,1,0,-9,0,1,0,1"
"56,9162,""A15-A34"",""M"",2022-01-06,2021-01-04,1,0,-9,0,1,0,1"
"57,9162,""A05-A14"",""M"",2022-01-07,2021-01-04,1,0,-9,0,1,0,1"
"58,9162,""A15-A34"",""M"",2022-01-09,2021-01-05,1,0,-9,0,1,0,1"
"59,9162,""A15-A34"",""M"",2022-01-11,2021-01-05,1,0,-9,0,1,0,1"
"60,9162,""A35-A59"",""M"",2022-01-08,2021-01-05,1,0,-9,0,1,0,1"
"61,9162,""A15-A34"",""M"",2022-01-04,2021-01-05,1,0,-9,0,1,0,1"
"62,9162,""A05-A14"",""M"",2022-01-07,2021-01-05,1,0,-9,0,1,0,1"
"63,9162,""A35-A59"",""M"",2022-01-06,2021-01-05,1,0,-9,0,1,0,1"
"64,9162,""A15-A34"",""M"",2022-01-09,2021-01-06,1,0,-9,0,1,0,1"
"65,9162,""A15-A34"",""M"",2022-01-08,2021-01-06,1,0,-9,0,2,0,2"
"66,9162,""A15-A34"",""M"",2022-01-11,2021-01-06,1,0,-9,0,1,0,1"
"67,9162,""A35-A59"",""M"",2022-01-07,2021-01-06,1,0,-9,0,1,0,1"
"68,9162,""A15-A34"",""M"",2022-01-10,2021-01-06,1,0,-9,0,1,0,1"
"69,9162,""A15-A34"",""M"",2022-01-12,2021-01-07,1,0,-9,0,2,0,2"
"70,9162,""A35-A59"",""M"",2022-01-11,2021-01-07,1,0,-9,0,1,0,1"
"71,9162,""A60-A79"",""M"",2022-01-09,2021-01-07,1,0,-9,0,1,0,1"
"72,9162,""A35-A59"",""M"",2022-01-13,2021-01-08,1,0,-9,0,1,0,1"
"73,9162,""A35-A59"",""M"",2022-01-11,2021-01-08,1,0,-9,0,2,0,2"
"74,9162,""A15-A34"",""M"",2022-01-11,2021-01-08,1,0,-9,0,1,0,1"
"75,9162,""A35-A59"",""M"",2022-01-16,2021-01-08,1,0,-9,0,1,0,1"
"76,9162,""A35-A59"",""M"",2022-01-12,2021-01-08,1,0,-9,0,1,0,1"
"77,9162,""A15-A34"",""M"",2022-01-10,2021-01-08,1,0,-9,0,1,0,1"
"78,9162,""A15-A34"",""M"",2022-01-12,2021-01-09,1,0,-9,0,1,0,1"
"79,9162,""A80+"",""M"",2022-01-23,2021-01-09,1,0,-9,0,1,0,1"
"80,9162,""A35-A59"",""M"",2022-01-13,2021-01-09,1,0,-9,0,1,0,1"
"81,9162,""A00-A04"",""M"",2022-01-11,2021-01-09,1,0,-9,0,1,0,1"
"82,9162,""A35-A59"",""M"",2022-01-11,2021-01-09,1,0,-9,0,1,0,1"
"83,9162,""A35-A59"",""M"",2022-01-15,2021-01-09,1,0,-9,0,1,0,1"
"84,9162,""A15-A34"",""M"",2022-01-13,2021-01-09,1,0,-9,0,3,0,3"
"85,9162,""A15-A34"",""M"",2022-01-11,2021-01-09,1,0,-9,0,1,0,1"
"86,9162,""A35-A59"",""M"",2022-01-14,2021-01-09,1,0,-9,0,1,0,1"
"87,9162,""A15-A34"",""M"",2022-01-12,2021-01-10,1,0,-9,0,1,0,1"
"88,9162,""A15-A34"",""M"",2022-01-11,2021-01-10,1,0,-9,0,2,0,2"
"89,9162,""A35-A59"",""M"",2022-01-11,2021-01-10,1,0,-9,0,1,0,1"
"90,9162,""A15-A34"",""M"",2022-01-16,2021-01-10,1,0,-9,0,1,0,1"
"91,9162,""A35-A59"",""M"",2022-01-14,2021-01-10,1,0,-9,0,2,0,2"
"92,9162,""A05-A14"",""M"",2022-01-13,2021-01-10,1,0,-9,0,1,0,1"
"93,9162,""A15-A34"",""M"",2022-01-17,2021-01-10,1,0,-9,0,1,0,1"
"94,9162,""A35-A59"",""M"",2022-01-14,2021-01-11,1,0,-9,0,1,0,1"
"95,9162,""A05-A14"",""M"",2021-11-16,2021-01-11,1,0,-9,0,1,0,1"
"96,9162,""A15-A34"",""M"",2022-01-16,2021-01-11,1,0,-9,0,1,0,1"
"97,9162,""A35-A59"",""M"",2022-01-15,2021-01-11,1,0,-9,0,1,0,1"
"98,9162,""A35-A59"",""M"",2022-01-17,2021-01-11,1,0,-9,0,1,0,1"
"99,9162,""A15-A34"",""M"",2022-01-14,2021-01-11,1,0,-9,0,1,0,1"
"100,9162,""A05-A14"",""M"",2022-01-11,2021-01-11,1,0,-9,0,1,0,1"
"101,9162,""A35-A59"",""M"",2022-01-14,2021-01-12,1,0,-9,0,1,0,1"
"102,9162,""A15-A34"",""M"",2022-01-16,2021-01-12,1,0,-9,0,2,0,2"
"103,9162,""A35-A59"",""M"",2022-01-15,2021-01-12,1,0,-9,0,1,0,1"
"104,9162,""A15-A34"",""M"",2022-01-15,2021-01-12,1,0,-9,0,1,0,1"
"105,9162,""A15-A34"",""M"",2022-01-18,2021-01-12,1,0,-9,0,1,0,1"
"106,9162,""A15-A34"",""M"",2022-01-13,2021-01-12,1,0,-9,0,1,0,1"
"107,9162,""A15-A34"",""M"",2022-01-17,2021-01-12,1,0,-9,0,2,0,2"
"108,9162,""A15-A34"",""M"",2022-01-15,2021-01-13,1,0,-9,0,1,0,1"
"109,9162,""A35-A59"",""M"",2021-11-18,2021-01-13,1,0,-9,0,1,0,1"
"110,9162,""A05-A14"",""M"",2022-01-15,2021-01-13,1,0,-9,0,1,0,1"
"111,9162,""A15-A34"",""M"",2022-01-16,2021-01-13,1,0,-9,0,1,0,1"
"112,9162,""A35-A59"",""M"",2022-01-13,2021-01-13,1,0,-9,0,1,0,1"
"113,9162,""A35-A59"",""M"",2022-01-16,2021-01-13,1,0,-9,0,1,0,1"
"114,9162,""A35-A59"",""M"",2022-01-18,2021-01-13,1,0,-9,0,1,0,1"
"115,9162,""A15-A34"",""M"",2022-01-12,2021-01-13,1,0,-9,0,1,0,1"
"116,9162,""A15-A34"",""M"",2021-11-17,2021-01-14,1,0,-9,0,1,0,1"
"117,9162,""A35-A59"",""M"",2022-01-20,2021-01-14,1,0,-9,0,1,0,1"
"118,9162,""A35-A59"",""M"",2022-01-17,2021-01-14,1,0,-9,0,1,0,1"
"119,9162,""A05-A14"",""M"",2022-01-18,2021-01-14,1,0,-9,0,1,0,1"
"120,9162,""A15-A34"",""M"",2022-01-20,2021-01-14,1,0,-9,0,1,0,1"
"121,9162,""A00-A04"",""M"",2022-01-17,2021-01-14,1,0,-9,0,1,0,1"
"122,9162,""A35-A59"",""M"",2022-01-15,2021-01-14,1,0,-9,0,1,0,1"
"123,9162,""A15-A34"",""M"",2022-01-19,2021-01-14,1,0,-9,0,1,0,1"
"124,9162,""A35-A59"",""M"",2022-01-19,2021-01-14,1,0,-9,0,2,0,2"
"125,9162,""A00-A04"",""M"",2022-01-14,2021-01-14,1,0,-9,0,1,0,1"
"126,9162,""A00-A04"",""M"",2022-01-18,2021-01-14,1,0,-9,0,1,0,1"
"127,9162,""A35-A59"",""M"",2022-01-18,2021-01-14,1,0,-9,0,1,0,1"
"128,9162,""A35-A59"",""M"",2022-01-21,2021-01-15,1,0,-9,0,1,0,1"
"129,9162,""A15-A34"",""M"",2022-01-19,2021-01-15,1,0,-9,0,1,0,1"
"130,9162,""A15-A34"",""M"",2022-01-20,2021-01-15,1,0,-9,0,1,0,1"
"131,9162,""A35-A59"",""M"",2022-01-18,2021-01-15,1,0,-9,0,1,0,1"
"132,9162,""A00-A04"",""M"",2022-01-18,2021-01-15,1,0,-9,0,1,0,1"
"133,9162,""A15-A34"",""M"",2022-01-21,2021-01-15,1,0,-9,0,1,0,1"
"134,9162,""A15-A34"",""M"",2022-01-25,2021-01-16,1,0,-9,0,1,0,1"
"135,9162,""A35-A59"",""M"",2022-01-24,2021-01-16,1,0,-9,0,1,0,1"
"136,9162,""A35-A59"",""M"",2022-01-21,2021-01-16,1,0,-9,0,1,0,1"
"137,9162,""A15-A34"",""M"",2022-01-17,2021-01-16,1,0,-9,0,1,0,1"
"138,9162,""A35-A59"",""M"",2022-01-22,2021-01-16,1,0,-9,0,1,0,1"
"139,9162,""A35-A59"",""M"",2022-01-23,2021-01-16,1,0,-9,0,1,0,1"
"140,9162,""A35-A59"",""M"",2022-01-20,2021-01-16,1,0,-9,0,1,0,1"
"141,9162,""A35-A59"",""M"",2022-01-21,2021-01-17,1,0,-9,0,1,0,1"
"142,9162,""A05-A14"",""M"",2022-01-19,2021-01-17,1,0,-9,0,1,0,1"
"143,9162,""A00-A04"",""M"",2022-01-25,2021-01-17,1,0,-9,0,1,0,1"
"144,9162,""A35-A59"",""M"",2022-01-20,2021-01-17,1,0,-9,0,1,0,1"
"145,9162,""A05-A14"",""M"",2022-01-21,2021-01-17,1,0,-9,0,1,0,1"
"146,9162,""A35-A59"",""M"",2022-01-19,2021-01-17,1,0,-9,0,3,0,3"
"147,9162,""A15-A34"",""M"",2022-01-19,2021-01-18,1,0,-9,0,1,0,1"
"148,9162,""A05-A14"",""M"",2022-01-23,2021-01-18,1,0,-9,0,1,0,1"
"149,9162,""A05-A14"",""M"",2022-01-19,2021-01-18,1,0,-9,0,1,0,1"
"150,9162,""A35-A59"",""M"",2022-01-21,2021-01-18,1,0,-9,0,4,0,4"
"151,9162,""A15-A34"",""M"",2022-01-21,2021-01-18,1,0,-9,0,4,0,4"
"152,9162,""A35-A59"",""M"",2022-01-22,2021-01-18,1,0,-9,0,1,0,1"
"153,9162,""A15-A34"",""M"",2022-01-22,2021-01-18,1,0,-9,0,1,0,1"
"154,9162,""A60-A79"",""M"",2022-01-21,2021-01-18,1,0,-9,0,1,0,1"
"155,9162,""A35-A59"",""M"",2022-01-21,2021-01-19,1,0,-9,0,2,0,2"
"156,9162,""A15-A34"",""M"",2022-01-24,2021-01-19,1,0,-9,0,1,0,1"
"157,9162,""A15-A34"",""M"",2022-01-23,2021-01-19,1,0,-9,0,1,0,1"
"158,9162,""A35-A59"",""M"",2022-01-23,2021-01-19,1,0,-9,0,1,0,1"
"159,9162,""A60-A79"",""M"",2022-01-23,2021-01-19,1,0,-9,0,1,0,1"
"160,9162,""A15-A34"",""M"",2022-01-19,2021-01-19,1,0,-9,0,1,0,1"
"161,9162,""A60-A79"",""M"",2022-02-08,2021-01-19,1,0,-9,0,1,0,1"
"162,9162,""A35-A59"",""M"",2022-01-25,2021-01-19,1,0,-9,0,1,0,1"
"163,9162,""A05-A14"",""M"",2022-01-23,2021-01-19,1,0,-9,0,1,0,1"
"164,9162,""A15-A34"",""M"",2022-01-21,2021-01-19,1,0,-9,0,1,0,1"
"165,9162,""A35-A59"",""M"",2022-01-24,2021-01-19,1,0,-9,0,2,0,2"
"166,9162,""A35-A59"",""M"",2022-01-21,2021-01-20,1,0,-9,0,1,0,1"
"167,9162,""A35-A59"",""M"",2022-01-26,2021-01-20,1,0,-9,0,1,0,1"
"168,9162,""A35-A59"",""M"",2022-01-27,2021-01-20,1,0,-9,0,1,0,1"
"169,9162,""A60-A79"",""M"",2022-01-26,2021-01-20,1,0,-9,0,1,0,1"
"170,9162,""A05-A14"",""M"",2022-01-23,2021-01-20,1,0,-9,0,1,0,1"
"171,9162,""A15-A34"",""M"",2022-01-26,2021-01-21,1,0,-9,0,1,0,1"
"172,9162,""A15-A34"",""M"",2022-01-24,2021-01-21,1,0,-9,0,1,0,1"
